address,areas,bathrooms,bedrooms,parking-spaces,zap_price_pmo,zap_price_cls,zap_price_iptu,latitude,longitude,street,neighborhood,r$_pmo,usd_pmo
"Estrada Pau-ferro, Freguesia (Jacarepaguá)",66 m²,2.0,2.0,1.0,R$ 1.700 /mês,condomínio R$ 700,IPTU R$ 103,-22.9408899,-43.3422564,Estrada Pau-ferro, Freguesia (Jacarepaguá),1700,395.16
"Rua Paramopama, Ribeira",70 m²,2.0,2.0,1.0,R$ 2.300 /mês,condomínio R$ 250,IPTU R$ 25,-22.822127300000002,-43.1718358,Rua Paramopama, Ribeira,2300,534.63
"Rua Samin, Irajá",90 m²,2.0,2.0,1.0,R$ 1.500 /mês,condomínio R$ 170,,-22.8395223,-43.328984600000005,Rua Samin, Irajá,1500,348.67
"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca",70 m²,2.0,2.0,1.0,R$ 2.600 /mês,condomínio R$ 814,IPTU R$ 155,-22.9219495,-43.2345965,Rua Engenheiro Enaldo Cravo Peixoto, Tijuca,2600,604.36
"Estrada da Covanca, Tanque",74 m²,2.0,2.0,1.0,R$ 1.000 /mês,condomínio R$ 500,IPTU R$ 17,-22.9149163,-43.346668,Estrada da Covanca, Tanque,1000,232.45
"Rua Silvia Pozzano, Recreio dos Bandeirantes",69 m²,2.0,2.0,1.0,R$ 1.700 /mês,condomínio R$ 740,IPTU R$ 180,-23.0066417,-43.4845412,Rua Silvia Pozzano, Recreio dos Bandeirantes,1700,395.16
"Rua Raul Pompéia, Copacabana",70 m²,3.0,1.0,,R$ 2.650 /mês,condomínio R$ 586,IPTU R$ 170,-22.9859524,-43.1911156,Rua Raul Pompéia, Copacabana,2650,615.98
"Rua das Laranjeiras, Laranjeiras",65 m²,2.0,2.0,1.0,R$ 2.300 /mês,condomínio R$ 900,IPTU R$ 120,-22.9323641,-43.1821872,Rua das Laranjeiras, Laranjeiras,2300,534.63
"Rua Itua, Jardim Guanabara",141 m²,2.0,3.0,2.0,R$ 3.000 /mês,condomínio R$ 500,IPTU R$ 249,-22.8163695,-43.2068501,Rua Itua, Jardim Guanabara,3000,697.34
"Rua Retiro dos Artistas, Pechincha",65 m²,2.0,2.0,1.0,R$ 1.200 /mês,condomínio R$ 540,IPTU R$ 85,-22.930480300000003,-43.3555556,Rua Retiro dos Artistas, Pechincha,1200,278.94
